team,nickname,abbreviation,league,stadium,stadium_address,area,capacity,manager,is_player_manager
Brentford,The Bees,BRE,English Second Division,Griffin Park,Braemer Road,Middlessex,13800,David Webb,False
Brighton,The Seagulls,BRI,English Third Division,The Goldstone Ground,Newton Road,East Sussex,18203,Jimmy Case,False
Bristol C,The Robins,BRC,English Second Division,Ashton Gate,Bristol,Avon,20832,Joe Jordan,False
Bristol R,The Pirates,BRR,English Second Division,Twerton Park,Bath,Avon,8730,Ian Holloway,True
Burnley,The Clarets,BLY,English Second Division,Turf Moor,Brunshaw Road,Lancashire,20912,Adrian Heath,False
Carlisle,The Cumbrians,CLS,English Third Division,Brunton Park,Warwick Road,Cumbria,17300,Mervyn Day,False
Chesterfield,The Spireites,CST,English Second Division,Recreation Ground,Chesterfield,Nottinghamshire,11308,John Duncan,False
Crewe,The Railwaymen,CRW,English Second Division,Gresty Road,Crewe,Cheshire,6000,Dario Gradi,False
Hull,The Tigers,HUL,English Third Division,Boothferry Park,Boothferry Road,North Humberside,15828,Terry Duncan,False
Nottingham C,The Magpies,NTC,English Second Division,Meadow Lane,Nottingham,Nottinghamshire,20300,Colin Murphy,False
Oxford,The U's,OXF,English First Division,Manor Ground,London Road,Oxford,9572,Denis Smith,True
Peterborough,The Posh,PET,English Second Division,London Road Ground,Peterborough,,10675,Barry Fry,False
Rotherham,The Merry Millers,ROT,English Second Division,Millmoor Ground,Rotherham,South Yorkshire,11533,Archie Gemmill,False
Shrewsbury,The Blues,SHR,English Second Division,Gay Meadow,Shrewsbury,Shropshire,8000,Fred Davies,False
Stockport,The Hatters,STO,English Second Division,Edgeley Park,Hardcastle Road - Edgeley,Cheshire,16419,David Jones,True
Swansea,The Swans,SWA,English Third Division,Vetch Field,Swansea,,16550,Jan Molby,True
Swindon,The Robins,SWI,English First Division,County Gorund,Swindon,,15341,Steve McMahon,False
Walsall,The Saddlers,WAL,English Second Division,Bescot Stadium,Bescot Crescent,West Midlands,10400,Chris Nicholl,False
Wrexham,The Robins,WRE,English Second Division,Racecourse Ground,Mold Road,Clwyd,11500,Brian Flynn,False
Wycombe,The Chairboys,WYC,English Second Division,Adams Park,Hillbottom Road,Buckinghamshire,9649,Alan Smith,False
York,The Minster Men,YOR,English Second Division,Bootham Crescent,York,Yorkshire,9534,Brian Little,False
Barnet,The Bees,BRN,English Third Division,Underhill Stadium,Barnet Lane,Hertfordshire,3887,Ray Clemence,False
Bury,The Shakers,BUR,English Second Division,Gigg Lane,Bury,Lancashire,11614,Stan Ternent,False
Cambridge,The U's,CAM,English Third Division,Abbey Stadium,Newmarket Road,Cambridgeshire,9667,Tommy Taylor,True
Cardiff,The Bluebirds,CAR,English Third Division,Ninian Park,Sloper Road,,21000,Phil Neal,False
Chester,The Blues,CHC,English Third Division,Deva Stadium,Bumpers Lane,Cheshire,6000,Kevin Ratcliffe,False
Colchester,The U's,COL,English Third Division,Layer Road Ground,Colchester,Essex,7944,Steve Wignall,False
Darlington,The Quakers,DAR,English Third Division,Feethams,Darlington,Durham,9984,Roy Hodgson,False
Doncaster,The Rovers,DON,English Third Division,Belle Vue Ground,Doncaster,South Yorkshire,7794,Sammy Chung,False
Exeter,The Grecians,EXE,English Third Division,St James Park,Well Street,Devon,8960,Peter Fox,True
Fulham,The Cottagers,FUL,English Third Division,Craven Cottage,Stevenage Road,London,11600,Micky Adams,True
Gillingham,The Gills,GIL,English Second Division,Priestfield Stadium,Redern Avenue,Kent,10422,Tony Pulis,False
Hartlepool,The Pool,HAR,English Third Division,The Victoria Park,Hartlepool,Cleveland,7229,Keith Houchen,True
Hereford,United,HER,English Third Division,Edgar Street,Hereford,,13752,Dick Bate,False
Orient,The O's,ORI,English Third Division,Brisbane Road,Leyton,London,18869,Pat Holland,False
Lincoln,The Red Imps,LIN,English Third Division,Sincil Bank,Lincoln,,10898,John Beck,False
Mansfield,The Stags,MAN,English Third Division,Field Mill Ground,Quarry Lane,Nottingham,10315,Andy King,False
Northampton,The Cobblers,NOR,English Third Division,Sixfields,Upton Way,,7673,Ian Atkins,False
Plymouth,The Pilgrims,PLY,English Second Division,Home Park,Plymouth,Devon,19700,Neil Warnock,False
Preston,The Lilywhites,PSN,English Second Division,Deepdale,Preston,,10173,Gary Peters,False
Rochdale,The Dale,ROC,English Third Division,Spotland,Willbutts Lane,,5800,Graham Barrow,False
Scarborough,The Boro,SCA,English Third Division,The McCain Stadium,Seamer Road,,6899,Mick Wadsworth,False
Scunthorpe,The Iron,SCU,English Third Division,Glanford Park,Doncaster Road,,9200,Mick Buxton,False
Torquay,The Gulls,TQY,English Third Division,Plainmoor Ground,Torquay,Devon,6490,Kevin Hodge,False
Wigan,The Latics,WIG,English Third Division,Springfield Park,Wigan,Lancashire,8666,John Deehan,False
Arm. Bielefeld,,ARM,German Bundesliga 1,Alm,,,22000,,False
VfL Bochum,,BOC,German Bundesliga 1,Ruhrstadion,,,42000,,False
FC C. Z. Jena,,CZJ,German Bundesliga 2,Ernst-Abbe Sports Field,,,9380,,False
Chemnitz,,CHM,Others,Stair Park,,,6100,,False
MSV Duisburg,,DUI,German Bundesliga 1,Wedaustadion,,,30128,,False
Fortuna Köln,,FTK,German Bundesliga 2,XX185,,,15000,,False
Hannover 96,,HNN,Others,XX186,,,10000,,False
Hertha BSC,,HRB,German Bundesliga 2,Berliner Olympiastadion,,,76243,,False
VfB Leipzig,,LEZ,German Bundesliga 2,Bruno-Plache Stadion,,,15000,,False
VfB Lübeck,,LUB,German Bundesliga 2,Lomuhle,,,19200,,False
1. FSV Mainz 05,,MAI,German Bundesliga 2,Bruchwegstadion,,,13000,,False
SV Meppen,,MEP,German Bundesliga 2,Emslandstadion,,,17500,,False
1. FC Nürnberg,,NUR,Others,XX192,,,10000,,False
Unterhaching,,UNT,German Bundesliga 2,Sports Park Stadium,,,10000,,False
SV. W. Mannheim,,WDM,German Bundesliga 2,Carl-Benz Stadion,,,27000,,False
Wattenscheid,,WTT,Others,XX195,,,10000,,False
VfL Wolfsburg,,WOL,German Bundesliga 2,VfL Stadion,,,15272,,False
FSV Zwickau,,ZWI,German Bundesliga 2,Westsachsenstadion,,,11200,,False
Airdrie,,AIR,Scottish First Division,Broomfield Park,Gartlea Road,,6300,,False
Clydebank,,CLY,Scottish First Division,Kilbowie Park,Arran Place,,5503,,False
Dumbarton,,DUM,Scottish First Division,Boghead Park,Miller Street,,5503,,False
Dundee,,DUN,Scottish First Division,Dens Park,Dens Road,,16276,,False
Dundee U,,DNU,Scottish Premier League,Tannadice Park,Tannadice Street,,16868,,False
Dunfermline,,DNF,Scottish Premier League,East End Park,Halbeath Road,Fife,18328,,False
Morton,,MOR,Scottish First Division,Cappielow Park,Sinclair Street,,14267,,False
Hamilton,,HMN,Scottish First Division,Douglas Park,Douglas Park Lane,,1238,,False
St Johnstone,,STJ,Scottish First Division,McDairmid Park,Crieff Road,,10721,,False
St Mirren,,STM,Scottish First Division,St Mirren Park,Love Street,,15410,,False
Ancona,,ANC,Others,XX198,,,10000,,False
Avellino,,AVE,Others,XX199,,,15000,,False
Bologna,,BLG,Italian Serie A,XX200,,,39603,,False
Brescia,,BRS,Italian Serie B,Mario Rigamonti,,,25000,,False
Cesena,,CES,Italian Serie B,XX201,,,27000,,False
Chievo,,CHI,Italian Serie B,XX202,,,44500,,False
Cosenza,,COS,Italian Serie B,XX203,,,22000,,False
Fidelis Andria,,FID,Others,XX204,,,10000,,False
Foggia,,FOG,Italian Serie B,Pino Zaccheria,,,25000,,False
Genoa,,GEN,Italian Serie B,Luigi Ferraris,,,41917,,False
Lucchese,,LUC,Italian Serie B,XX205,,,10721,,False
Palermo,,PAL,Italian Serie B,XX206,,,37500,,False
Perugia,,PER,Italian Serie A,XX207,,,37000,,False
Pescara,,PES,Italian Serie B,XX208,,,18000,,False
Pistoiese,,PIS,Others,XX209,,,10000,,False
Reggiana,,RGA,Italian Serie A,Giglio,,,29650,,False
Reggina,,RGI,Italian Serie B,XX210,,,12300,,False
Salernitana,,SAL,Italian Serie B,XX211,,,40000,,False
Venezia,,VEN,Italian Serie B,XX212,,,15000,,False
Verona,,VER,Italian Serie A,XX213,,,44500,,False
Ales,,ALE,Others,Pierre Pibarot,,,10000,,False
Amiens,,AMI,French Division 2,Moulonguet,,,9000,,False
Angers,,ANG,Others,Jean-Bouin,Boulevard Pierre de Coubertin,,21706,,False
Caen,,CAE,French Division 1,Michel D'Ornano,,,21500,,False
Charleville,,CHR,French Division 2,Stade Petit Bois,rue delvincourt,,8400,,False
Chateauroux,,CHT,French Division 2,Gaston-Petit,avenue Pierre de Coubertin,,10000,,False
Dunkerque,,DNK,Others,Tribut,ave de Rosedael,,7000,,False
Epinal,,EPI,French Division 2,Stade de la Combiene,rue de Chaperon-Rouge,,12000,,False
Laval,,LAV,French Division 2,Francis Le Basser,130 ave Pierre de Coubertin,,19000,,False
Le Mans,,LEM,French Division 2,Leon-Bollee,rue Claircigny,,12000,,False
Lorient,,LOR,French Division 2,Le Moustoir,rue Jean-Le Coutaller,,11000,,False
Louhans-C,,LOU,French Division 2,Parc Des Sports Du Bram,rue de Bram,,7000,,False
Marseille,,MAR,French Division 1,Velodrome,3 boulevard Michelet,,46000,,False
Mulhouse,,MUL,French Division 2,De L'ill,45 boulevard Stoeseel,,10440,,False
Nancy,,NCY,French Division 1,Marcel Picot,90 boulevard Jean-Laures,,34595,,False
Niort,,NIO,French Division 2,Rene Gaillard,ave de la Vinese-Verte,,12395,,False
Perpignan,,PPG,French Division 2,Jean-Laffon,avenue des Sports,,8000,,False
Poitiers,,POI,Others,La Pepiniere,rue des Deux-Communes,,11000,,False
Red Star,,RED,French Division 2,Municipal - Red Star93,rue de Docteur-Bauer,,18000,,False
Sochaux,,SOC,French Division 2,Auguste-Bonal,,,15056,,False
Toulouse,,TLE,French Division 2,Municipal Toulose,1 allee Gabriel-Bienes,,35200,,False
Valence,,VAL,French Division 2,Georges Pompidou,route de Romans,,15000,,False
Anderlecht,,AND,Others,Constant Vanden Stock,,,28063,,False
Antwerp,,ANT,Others,Bosuil,,,20000,,False
Club Brugge,,CBR,Others,Olypiastadion,,,18091,,False
Standard Liege,,STA,Others,Sclessin,,,25998,,False
Rushden & D,,RUS,Others,XX214,,,5000,,False
Benfica,,BEN,Others,Stadium of Light,,,92385,,False
Boavista,,BOA,Others,Bessa,,,26000,,False
Porto,,POR,Others,Das Antas,,,76000,,False
Sporting Lisbon,,SPO,Others,Jose Alvalade,,,52411,,False
Belenenses,,BEL,Others,Restelo,,,42000,,False
Lierse,,LIE,Others,Herman V,,,14000,,False
Atl. Madrid,,ATL,Others,Vicente Calderon,,,62000,,False
Barcelona,,BCE,Others,Nou Camp,,,115000,,False
Deportivo,,DEP,Others,Riazor,,,28956,,False
Real Madrid,,RLM,Others,Bernabeu,,,95000,,False
